"","group","ind_ID","pop_ID","prob_CA","prob_BC","latitude","longitude","Sp_by_locality","Sp_assigned","number_songs_used","mean.size_songrep","min.size_songrep","max.size_songrep","sd.size_songrep","number_days_recorded"
"1","Gm.GO","HZ24",7,0.738,0.262,38.3024837,-93.7347487,"HZ","HY",100,17.0853366987886,15.9689768090704,17.9853674976385,0.558029379499177,"3"
"2","Gm.RB","HZ28",7,0.502,0.498,38.2957915,-93.7325195,"HZ","HY",100,30.4099527820169,30.4099527820169,30.4099527820169,0,"10"
"3","Nm.GR","HZ22",7,0.983,0.017,38.3039234,-93.7368831,"HZ","CA",100,36.8609628927529,35.0031920383047,38.4992090195378,0.953843212953498,"5"
"4","Nm.RY","HZ36",7,0.867,0.133,38.2959868,-93.7329684,"HZ","HY",100,29.10986929864,29.10986929864,29.10986929864,0,"8"
"5","Om.NO","HZ16",7,0.955,0.045,38.305758,-93.736445,"HZ","CA",100,34.687247871511,31.1298581129561,37.2849771984622,1.37446509703067,"3"
"6","Om.YR","HZ25",7,0.988,0.012,38.294238,-93.728243,"HZ","CA",100,20.5452900848578,17.0754828651087,21.5558649028828,0.908977231336603,"3"
"7","Rm.RR","HZ3",7,0.783,0.217,38.291495,-93.731487,"HZ","HY",100,24.5237335170771,22.1015884490886,25.0718129805289,0.651877145959696,"3"
"8","Rm.YB","HZ30",7,0.983,0.017,38.3044373,-93.7369337,"HZ","CA",100,35.8988595024219,31.5688996851829,37.1007514991589,1.13091637250598,"8"
"9","Ym.NG","HZ20",7,0.988,0.012,38.292864,-93.731253,"HZ","CA",100,32.5223548819045,30.7728698259244,35.1714202862804,1.07762275607316,"2"
"10","Ym.WG","HZ27",7,0.777,0.223,38.2877361,-93.7271702,"HZ","HY",100,27.1619443435896,26.0822370849174,27.8825057067484,0.404598759075211,"6"
